label,image
la fii,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20fii.png
la plot,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20plot.png
la pol,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20pol.png
la torcheu,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20torcheu.png
la vash,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20vash.png
li baa,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20baa.png
li garsooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20garsooñ.png
li kanaar,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20kanaar.png
li loo,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20loo.png
li lyeev,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20lyeev.png
li minoosh,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20minoosh.png
li shyaeñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20shyaeñ.png
la fii,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20fii.png
la plot,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20plot.png
la pol,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20pol.png
la torcheu,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20torcheu.png
la vash,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20vash.png
li baa,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20baa.png
li garsooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20garsooñ.png
li kanaar,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20kanaar.png
li loo,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20loo.png
li lyeev,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20lyeev.png
li minoosh,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20minoosh.png
li shyaeñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20shyaeñ.png
la fii,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20fii.png
la plot,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20plot.png
la pol,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20pol.png
la torcheu,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20torcheu.png
la vash,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20vash.png
li baa,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20baa.png
li garsooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20garsooñ.png
li kanaar,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20kanaar.png
li loo,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20loo.png
li lyeev,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20lyeev.png
li minoosh,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20minoosh.png
li shyaeñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20shyaeñ.png
la fii,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20fii.png
la plot,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20plot.png
la pol,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20pol.png
la torcheu,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20torcheu.png
la vash,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/la%20vash.png
li baa,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20baa.png
li garsooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20garsooñ.png
li kanaar,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20kanaar.png
li loo,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20loo.png
li lyeev,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20lyeev.png
li minoosh,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20minoosh.png
li shyaeñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Awa_card_deck/li%20shyaeñ.png
