label,image
li shapoo1,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20shapoo1.png
li shapoo2,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20shapoo2.png
li shapoo3,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20shapoo3.png
li liivr1,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20liivr1.png
li liivr2,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20liivr2.png
li liivr3,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20liivr3.png
la bol1,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20bol1.png
la bol2,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20bol2.png
la bol3,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20bol3.png
la fleur1,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20fleur1.png
la fleur2,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20fleur2.png
la fleur3,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20fleur3.png
li shapoo1,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20shapoo1.png
li shapoo2,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20shapoo2.png
li shapoo3,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20shapoo3.png
li liivr1,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20liivr1.png
li liivr2,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20liivr2.png
li liivr3,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/li%20liivr3.png
la bol1,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20bol1.png
la bol2,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20bol2.png
la bol3,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20bol3.png
la fleur1,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20fleur1.png
la fleur2,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20fleur2.png
la fleur3,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/TILV_card_deck/la%20fleur3.png
