label,image
li shapoo,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20shapoo.png
la bol,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20bol.png
la fleur,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20fleur.png
la bwet,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20bwet.png
la foorshet,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20foorshet.png
la sheez,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20sheez.png
li liivr,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20liivr.png
li portree,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20portree.png
li kriyooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20kriyooñ.png
la meezooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20meezooñ.png
la shmiizh,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20shmiizh.png
la taeb,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20taeb.png
li shapoo,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20shapoo.png
la bol,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20bol.png
la fleur,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20fleur.png
la bwet,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20bwet.png
la foorshet,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20foorshet.png
la sheez,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20sheez.png
li liivr,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20liivr.png
li portree,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20portree.png
li kriyooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20kriyooñ.png
la meezooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20meezooñ.png
la shmiizh,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20shmiizh.png
la taeb,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20taeb.png
li shapoo,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20shapoo.png
la bol,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20bol.png
la fleur,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20fleur.png
la bwet,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20bwet.png
la foorshet,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20foorshet.png
la sheez,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20sheez.png
li liivr,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20liivr.png
li portree,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20portree.png
li kriyooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20kriyooñ.png
la meezooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20meezooñ.png
la shmiizh,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20shmiizh.png
la taeb,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20taeb.png
li shapoo,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20shapoo.png
la bol,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20bol.png
la fleur,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20fleur.png
la bwet,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20bwet.png
la foorshet,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20foorshet.png
la sheez,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20sheez.png
li liivr,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20liivr.png
li portree,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20portree.png
li kriyooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/li%20kriyooñ.png
la meezooñ,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20meezooñ.png
la shmiizh,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20shmiizh.png
la taeb,https://raw.githubusercontent.com/Maamashkaach/Language_teaching/main/Images/Cards/Ooma_card_deck/la%20taeb.png
